Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
4e3642dfbe71253594fa4634463c93f3cdf7c395818e03f638987fb5c3f7c00d,2023-03,City of London Police,City of London Police,-0.106345,51.520463,On or near ,E01000916,Camden 027B,Drugs,Offender given a drugs possession warning
fd52093cfd372bfcb823d0b6135a06222da96bdbacf34f561e102511c90016d9,2023-03,City of London Police,City of London Police,-0.096718,51.515511,On or near ,E01000001,City of London 001A,Drugs,Under investigation
2c72824ee749380d1d03b7daecdd4adbe0b555d429a2f888268ec1a3660c9422,2023-03,City of London Police,City of London Police,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Drugs,Awaiting court outcome
429963166c1f583fbbfdc155bb23c916eac0e33868c63a6847356257f8372198,2023-03,City of London Police,City of London Police,-0.078783,51.515383,On or near Houndsditch,E01000005,City of London 001E,Drugs,Under investigation
511a0a8a2cc77fbf37a732bcf8beaaa1dcebd0e0d01f075985823b38aa4dcb09,2023-03,City of London Police,City of London Police,-0.07433,51.513647,On or near Little Somerset Street,E01000005,City of London 001E,Drugs,Under investigation
b81a20ef99fad431b0e93bac2417043059bdd176d7c74f2e48b836da9b790834,2023-03,City of London Police,City of London Police,-0.075453,51.511965,On or near Minories,E01000005,City of London 001E,Drugs,Under investigation
3757e5cb46c5198d75228a8995065f67447dcd3f3303b2c087253ca6de08d614,2023-03,City of London Police,City of London Police,-0.073717,51.510084,On or near Shorter Street,E01000005,City of London 001E,Drugs,Under investigation
1e482eceda5a24cd441fd9d1f579862f46d960b9975dd4fbb530b4d942339d38,2023-03,City of London Police,City of London Police,-0.075401,51.511164,On or near ,E01000005,City of London 001E,Drugs,Under investigation
e44e0ea6cc58da47443883768987419fb52afabf9b869962530a4dd8fb376ce7,2023-03,City of London Police,City of London Police,-0.078783,51.515383,On or near Houndsditch,E01000005,City of London 001E,Drugs,Under investigation
72b4712ddbd9b8972cfe877a5a10879e6611307e5ac868a55bc06976280c43be,2023-03,City of London Police,City of London Police,-0.079907,51.517785,On or near Victoria Avenue,E01032739,City of London 001F,Drugs,Under investigation
beee0f5624ea9d830f8191314af9311b9839c973b28599dbc93a728495c1f6e0,2023-03,City of London Police,City of London Police,-0.084844,51.5097,On or near Monument Street,E01032739,City of London 001F,Drugs,Under investigation
c3e58fcf9827a3b55a632dfffac5d23d476803d339a2f6e0749832c55a88c90d,2023-03,City of London Police,City of London Police,-0.101963,51.510761,On or near ,E01032739,City of London 001F,Drugs,Under investigation
d55bef75e5bfae3c297bb5ac4c37591800bebddaa6feb2b44bff1c01685f8eae,2023-03,City of London Police,City of London Police,-0.077563,51.517656,On or near Sandy'S Row,E01032739,City of London 001F,Drugs,Offender given a caution
72d6630f1df0911f0982699d58ee0f2a3a0ccd032b15cbca4bf1c8f7fb1cb3a4,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Offender given a drugs possession warning
a6b05139f0fbee5675a972c17acfb093150a321f46b970f5f08dbda688fa200b,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Offender given a drugs possession warning
fb21819f6997616de4e7db31ef793ba4881f4f0c3e5d55199ca404930bb8f547,2023-03,City of London Police,City of London Police,-0.082993,51.51636,On or near Wormwood Street,E01032739,City of London 001F,Drugs,Under investigation
ace03be81f6195e9ba39e462bede8f146d37f3b3f29f26d00c411c73906fcf71,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Offender given a drugs possession warning
66fa6adb6f651ff292a990d03480988ef89187a5692f262f4fbb49231a8dad11,2023-03,City of London Police,City of London Police,-0.088785,51.517102,On or near Moorgate,E01032739,City of London 001F,Drugs,Under investigation
6a07d3e5f83a62595e40f4db7030fd9b545c151b2731618a112cb58defd590a4,2023-03,City of London Police,City of London Police,-0.079521,51.511196,On or near New London Street,E01032739,City of London 001F,Drugs,Awaiting court outcome
e84d2e86e9f91da5365aeb084298e5440cba6afe847245eba683b204b73fa375,2023-03,City of London Police,City of London Police,-0.09154,51.511896,On or near Cannon Street,E01032739,City of London 001F,Drugs,Under investigation
22311829ed8cb9882fe85def064c89e36ce94c3ffc40d438c6c154a6c044596a,2023-03,City of London Police,City of London Police,-0.081902,51.517296,On or near Liverpool Street,E01032739,City of London 001F,Drugs,Under investigation
d5602810d4fe9d3c8675e46ce8dfd1392c755f8909c1679644f33627925fd2c6,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Under investigation
f1502bed197b3b925b5bb93803e01972220590c150cb69883f5b6ef4a265dc66,2023-03,City of London Police,City of London Police,-0.078059,51.509967,On or near Trinity Square,E01032739,City of London 001F,Drugs,Under investigation
7a6a76d923fa00b8365d3adc3e4be1d93ecfb32ac02ac66c4b23e1b98b3e74ec,2023-03,City of London Police,City of London Police,-0.101963,51.510761,On or near ,E01032739,City of London 001F,Drugs,Under investigation
60498f61474904ccac9538f1c546d93ff27cebf0a9ecdb72e8fb3fad2bfac525,2023-03,City of London Police,City of London Police,-0.089808,51.517461,On or near London Wall,E01032739,City of London 001F,Drugs,Offender given a caution
eb5d3a6750a6847e10de18c7bbb929a169fbd3c8c5bf6b6b202efa68beb9dfed,2023-03,City of London Police,City of London Police,-0.084836,51.511939,On or near ,E01032739,City of London 001F,Drugs,Offender given a drugs possession warning
bbe2d275d3c813cb2570e55aefa877f16282fb17af24ddcf154956070c05c140,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Offender given a drugs possession warning
ddabbe86cb80fdc485ea6220be25e2516ff69c08acb05f83182e4e6d280682a2,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Under investigation
ab2538d24bcd891d0363881bc1cb580f45f1327bf5700f498e834aee1b21394a,2023-03,City of London Police,City of London Police,-0.088785,51.517102,On or near Moorgate,E01032739,City of London 001F,Drugs,Under investigation
d2de5f9524c1b088e9b7b0fde1afc1299a6431bfac8afe71d512395701c57f11,2023-03,City of London Police,City of London Police,-0.079907,51.517785,On or near Victoria Avenue,E01032739,City of London 001F,Drugs,Formal action is not in the public interest
8df393aca8da7bd486a0db8e238fc66e7e425a6120b93b1082a81eea83e237c3,2023-03,City of London Police,City of London Police,-0.104276,51.513712,On or near A201,E01032739,City of London 001F,Drugs,Formal action is not in the public interest
93b22b84e864b7392c0ef7cca9d9eede8e420032f7b593de69382b9472361a11,2023-03,City of London Police,City of London Police,-0.081113,51.516869,On or near Bishopsgate,E01032739,City of London 001F,Drugs,Under investigation
ea656fb1b441307f17c6ab08d2fbeb0d507a6b0ee2556ec04efe3e8cd028a899,2023-03,City of London Police,City of London Police,-0.085089,51.512105,On or near Gracechurch Street,E01032739,City of London 001F,Drugs,Under investigation
100c29b441c899abbf5759d0ced858626a9ee96efa3377a3ee3617ae16fd2772,2023-03,City of London Police,City of London Police,-0.09141,51.510167,On or near Cousin Lane,E01032739,City of London 001F,Drugs,Under investigation
d95f594c3f4b19ac4836eb2d5ba5ead4ca71a842587995f9404585b1e93044a9,2023-03,City of London Police,City of London Police,-0.101906,51.511794,On or near ,E01032739,City of London 001F,Drugs,Under investigation
44058e1f72fddbec8445b3008f7ea399ff7742cfb82011bf5ae03b054432a300,2023-03,City of London Police,City of London Police,-0.084844,51.510725,On or near Eastcheap,E01032739,City of London 001F,Drugs,Offender given a caution
bbe2d275d3c813cb2570e55aefa877f16282fb17af24ddcf154956070c05c140,2023-03,City of London Police,City of London Police,-0.081512,51.518692,On or near London Liverpool Street,E01032739,City of London 001F,Drugs,Under investigation
